question,correct,answerA,answerB,answerC,answerD
"REBEL MUSIC MIX- The folk trio Peter, Paul and Mary recorded the top ten hit ""If I Had a Hammer"" in 1962. Who originally wrote the song? ",Pete Seeger and Lee Hayes,Pete Seeger and Lee Hayes,Woody Guthrie,Phil Ochs,Millard Lampell and Bob Dylan
"REBEL MUSIC MIX- What year did the all gay, synth trio Bronski Beat form in England? ",1983,1983,1990,1967,2010
"REBEL MUSIC MIX- In 1939 the organization Daughters of the American Revolution refused to let this black opera singer perform at their concert venue, Constitution Hall, because she was black.",Marian Anderson,Marian Anderson,Sarah Vaughan,Lena Horne,Ella Fitzgerald
"REBEL MUSIC MIX- America singer Lena Horne, worked with this first lady in the 1940's around anti-lynching legislation. ",Elenore Roosevelt,Elenore Roosevelt,Lou Henry Hoover,Mamie Eisenhower,Bess Truman
"REBEL MUSIC MIX- In Madonna's 1989 video like ""Like a Prayer"" a black man is falsely arrested for what? ",Killing a white girl,Killing a white girl,Marrying a white girl in the 1920's,Raping a white girl,Staring at a white girl
"REBEL MUSIC MIX- The song ""Why?"", a 1984 hit song by the group Bronski Beat about anti-gay prejudice and hate appeared on what important album?",Age of Consent,Age of Consent,Truthdare Doubledare,Rainbow Nation,Red
"REBEL MUSIC MIX- What year did the music effort ""Band Aid"" begin? ",1984,1984,1999,1971,2013
"REBEL MUSIC MIX- The jazz oratorio piece ""Blood on the Fields"" about black chattel slavery in the U.S. was written by which jazz traditionalist popular in the early 1980's? ",Wynton Marsalis,Wynton Marsalis,Herbie Hancock,Miles Davis,Wayne Shorter
"REBEL MUSIC MIX- Dr. Bernice Johnson Reagon founded this  all-female, African-American cappella ensemble. ",Sweet Honey in the Rock,Sweet Honey in the Rock,The Shirelles,The Supremes,The Chiffons
REBEL MUSIC MIX- What train did the British singer and song writer Cat Stevens want people to get on in 1971?  ,The peace train,The peace train,The party train,The last train,The A train
"REBEL MUSIC MIX- In 1986 Nina Hagen teamed up with this new wave artist to record the song ""Don't Kill the Animals."" Who was the other musician?",Lene Lovich,Lene Lovich,Laurie Anderson,Joan Jett,Debbie Harry
"REBEL MUSIC MIX- New York singer Diamanda Galás's Masque of the Red Death, released in 1989 was about what subject? ",The AIDS crisis,The AIDS crisis,The West Nile Virus,The COVID 19 Virus,The Ebola Virus
REBEL MUSIC MIX- What was the name of country singer/ songwriter Steve Earle's 2004 song about revolution?,"""The Revolution Starts Now""","""The Revolution Starts Now""","""I Am the Revolution""","""I'm Waiting For the Revolution""","""We are the Revolution"""
"REBEL MUSIC MIX- Salman Ramadan Abedi killed 23 people and wounded over 139 at a May 22, 2017 pop concert in a bombing attack in Manchester, England. Who was the performer?",Ariana Grande,Ariana Grande,Lady Gaga,J- Lo,Selena Gomez
"REBEL MUSIC MIX- The title of the Michael Eric Dyson book ""Make Me Wanna Holla"" was taken from what artist's 1971 song? ",Marvin Gaye/ Inner City Blues,Marvin Gaye/ Inner City Blues,Smokey Robinson/ Holla,Stevie Wonder/ Livin' for the City,Jackie Wilson/ Throw up My Hand
"REBEL MUSIC MIX- What label did the funk, rock, and R&B musician Me'Shell NdegeOcello sign with in the early 1990's?",Maverick Records,Maverick Records,Sony Records,2- Tone Records,Arista Records
"REBEL MUSIC MIX- Swing Low, Sweet Cadillac, a 1967 live recording from American jazz trumpeter Dizzy Gillespie was about what? ",The cultural journey of black slaves in the U.S. from an African identity to an American one.,The cultural journey of black slaves in the U.S. from an African identity to an American one.,The end of African American slavery in the United States in 1965 and its aftermath,The music revolution that started in Motown Detriot- the manufacturing center of Cadillac,The horrors of the Middle Passage for African slaves in their transport to the U.S.
"REBEL MUSIC MIX- This 2017 album by Hurry for the Riff Raff contained the alternative hit ""Palante"", about the struggles of everyday peoples in the face of colonialism from a Puerto Rican perspective.",The Navigator,The Navigator,Look Out Mama,My Dearest Darkest,Small Town Heroes
"REBEL MUSIC MIX- Which country singer said in 2015 ""I'm a great Bernie and Hillary fan, you know?"" ",Willie Nelson,Willie Nelson,Tim McGraw,Toby Keith,Keith Urban
"REBEL MUSIC MIX- The 1970 song ""Big Yellow Taxi"" by folk singer-songwriter Joni Mitchell was about what?",Environmental  Degradation,Environmental  Degradation,Car Pollution,Racism in Canada,The Evils of War
"REBEL MUSIC MIX- ""Strange Fruit"", a song about Black lynching's in the U.S., was recorded by this female jazz singer in 1939.",Billy Holiday,Billy Holiday,Ella Fitzgerald,Sarah Vaughan,Etta James
"REBEL MUSIC MIX- During a 1977 episode of Sesame Street, who participated in the first representation of breastfeeding ever aired on television? ",Buffy Sainte- Marie,Buffy Sainte- Marie,Loretta Lynn,Linda Ronstadt,Olivia Newton-John
"REBEL MUSIC MIX- In 2019 the record Omoiyari, a concept album about the internment of Japanese Americans during World War II, was released by which Seattle based violinist? ",Kishi Bashi,Kishi Bashi,Haruomi Hosono,Keiji Haino,Ami Nakashima
"REBEL MUSIC MIX- Annie Lennox, of the synth- pop duo the Eurythmics, partnered with this soul music legend to record the feminist song ""Sisters Are Doing it For Themselves."" ",Aretha Franklin,Aretha Franklin,Diana Ross,Celine Dion,Mariah Carey
"REBEL MUSIC MIX- This U.S. composer and innovator in experimental music declared in an 1985 interview that he was an anarchist stating ""I don't like government! And I don't like institutions!""",John Cage,John Cage,Phillip Glass,Bryan Ferry,Brian Eno
"REBEL MUSIC MIX- This influential, Black blues singer and guitarist from Birmingham, Alabama sang ""O'freedom"" at the historic March on Washington for civil rights and jobs.",Odetta,Odetta,Lena Horne,Eartha Kitt,Etta James
"REBEL MUSIC MIX- This singer/songwriter released the women's liberation anthem ""I am Women"" in 1971. What's her name?",Hellen Reddy,Hellen Reddy,Olivia Newton- John,Anne Murray,Leslie Gore
"REBEL MUSIC MIX- The U.S. based, 1970's funk band Roy C. Hammond and the Honey Drippers released the song ""Impeach the President."" What president did they want impeached? ",Richard Nixon,Richard Nixon,George W Bush,Bill Clinton,Gerald Ford
"REBEL MUSIC MIX- This folk and blues singer who wrote songs about prison, slavery and being poor and black in the south, was convicted of murder and attempted murder in the early 1900's. ",Lead Belly,Lead Belly,Howling Wolf,Muddy Waters,Willie Dixon
REBEL MUSIC MIX- Dionne Warwick recorded this song in 1962 expressing frustration at men in the music industry trying to mold her into something she wasn't. What was the song? ,"""Don't Make Me Over""","""Don't Make Me Over""","""You Don't Know Me""","""I am Me""","""I Am Who I Am"""
REBEL MUSIC MIX- Female R&B artist Erykah Badu is a member of what socio-spiritual movement? ,The Five Percent Nation,The Five Percent Nation,The Santeria Religion,The Fruit of Islam,The Pentecostals
"REBEL MUSIC MIX- The Stevie Wonder song ""Livin' for the City"", a song about the struggles of poor, black inner city youth and the racist system of mass incarceration, first appeared on what 1973 album? ",Innervisions,Innervisions,Songs in the Key of Life,My Cherie Amour,Talking Book
"REBEL MUSIC MIX- In 1968 the ""Godfather of Soul"" James Brown released an anthem of the Black Power movement. What song was it? ","""Say it Loud I'm Black and I'm Proud""","""Say it Loud I'm Black and I'm Proud""","""I've Got You (I Feel Good)""","""Papa's Got a Brand New Bag""","""Get Up Offa That Thing"""
"REBEL MUSIC MIX- What two groups named their records ""Steal This Album"" after the 1960's YIPPIE Abbie Hoffman's ""Steal this Book."" ",The political hip-hop group the Coup and the alternative metal band System of a Down,The political hip-hop group the Coup and the alternative metal band System of a Down,The political hip- hop group Dead  Prez and the alternative metal band Rage Against the Machine,The hip-hop group The Roots and the alternative metal band Faith No More,The hip-hop group Gang Star and the alternative metal band Insane Clown Posse
"REBEL MUSIC MIX- Who wrote and sang ""People Get Ready"", a warm and soulful song released in 1965, inspired by the US  civil rights movement?",Curtis Mayfield,Curtis Mayfield,Marvin Gaye,Al Green,Isaac Hayes
"REBEL MUSIC MIX- Who sang these lyrics in the 1971 song ""Man in Black""? ""I wear the black for the poor and beaten down/living in the hopeless, hungry side of town/I wear it for the prisoner who has long paid for his crime/but is there because he's a victim of the time."" ",Johnny Cash,Johnny Cash,Waylon Jennings,Merle Haggard,Kris Kristofferson
REBEL MUSIC MIX- The androgynous new wave and soul artist Grace Jones was born in what country? ,Jamaica,Jamaica,Trinidad and Tobago,Dominican Republic,Haiti
"REBEL MUSIC MIX- Former four term governor of California, Jerry Brown, dated this U.S. based soft-rock singer popular in the 1970's. ",Linda Ronstadt,Linda Ronstadt,Bette Midler,Chaka Kahn,Patti LaBelle
"REBEL MUSIC MIX- The song ""Hello Birmingham"" by radical punk folk artist Ani DiFranco is about what?","The 1998 bombing of an abortion clinic in Birmingham, Alabama","The 1998 bombing of an abortion clinic in Birmingham, Alabama","The racist bombing of a Black Church in Birmingham, Alabama",The murder of Kansas abortion provider George Tiller in 2009,The murder of Florida abortion provider Dr. David Gunn in 1993
"REBEL MUSIC MIX- Who recorded the 1960 American jazz album ""We Insist! Freedom Now"" ",Max Roach,Max Roach,Buddy Rich,Neil Peart,Art Blakey
"REBEL MUSIC MIX- Aretha Franklin released the feminist anthem ""Respect"" in what year?",1967,1967,1950,1995,2003
"REBEL MUSIC MIX- The 1931 organized labor staple ""I Am a Union Women"" was written and sang by who?",Aunt Molly Jackson,Aunt Molly Jackson,Bessie Smith,Sara Carter,Marion Harris
REBEL MUSIC MIX- Donna Summer sang this controversial song in 1978 about sex workers in LA. What was the name of the song? ,"""Bad Girls""","""Bad Girls""","""Dim all the Lights""","""MacArthur Park""","""Hot Stuff"""
"REBEL MUSIC MIX- In October 2018 this pop artist is generally credited with registering over 166,000 voters across the US with one Instagram message in the run up to election day.",Taylor Swift,Taylor Swift,Selena Gomez,Beyonce,Lady Gaga
REBEL MUSIC MIX- According to Leonard Cohen in this 1992 song off his album The Future what is coming to USA? ,Democracy,Democracy,Fascism,Socialism,A Race War
REBEL MUSIC MIX- In what year did Sweet Honey in the Rock perform at the Obama White House?,2008,2008,1999,2017,2005
REBEL MUSIC MIX- In 2018 pop singer John Legend came out in support of what Florida state ballot measure? ,Amendment 4 to restore voting rights to ex-prison,Amendment 4 to restore voting rights to ex-prison,ACT 12 to reinstate affirmative action in ,Initiative 204 to ban discrimination against LGBTQ in employment,Measure 13 to ban undocumented immigrants from voting
"REBEL MUSIC MIX- Which famous, Canadian born, folk and jazz singer-songwriter wrote the 1970 song ""Woodstock""?",Joni Mitchell,Joni Mitchell,Janis Joplin,Mama Cass,Carol Carpenter
REBEL MUSIC MIX- The pop star Lady Gaga won the MTV Video Music Award for Best Female Video in 2011 for this pro LGBTQI song.,"""Born This Way""","""Born This Way""","""I'm Coming Out""","""Hair""","""Kiss Me I'm Queer"""
REBEL MUSIC MIX- This former boy band superstar was arrested on stage in Georgia for simulating sex on a bed with audience members.,Bobby Brown,Bobby Brown,Donnie Wahlberg,Joe Jonas,Chris Sellers
"REBEL MUISC MIX- In 1996, she started a philanthropic non-profit fund Nihewan Foundation for American Indian Education devoted to improving Native American students participation in learning. ",Buffy Sainte-Marie,Buffy Sainte-Marie,Joni Michell,Tanya Tagaq,Joan Baez
REBEL MUSIC MIX- What's the name of the Mitt Romney dog that the new wave band Devo sang about wanting to save from the roof of his car on family outings during the 2012 presidential race? ,Seamus,Seamus,Mutt,Goldwater,Brigham
"REBEL MUSIC MIX- Who wrote and recorded the song ""Talkin about a Revolution"" in 1988? ",Tracy Chapman,Tracy Chapman,Mary J Blige,Macy Gray,Suzanne Vega
"REBEL MUSIC MIX- What smooth 1960's R&B artist recorded the civil rights anthem ""A Change is Gonna Come""?",Sam Cooke,Sam Cooke,Barry White,Otis Redding,Wilson Pickett
"REBEL MUSIC MIX- Winona LaDuke, a Native American activist and former Green Party candidate for office, worked with this folk rock duo to start the grassroots environmental group Honor the Earth.  ",Indigo Girls,Indigo Girls,Simon and  Garfunkel,Captain and Tennille,Hall and Oats
"REBEL MUSIC MIX- In the 1971 classic album ""What's Going On"" this soul artist tackles everything from racism to the Vietnam War to environmental degradation. Who was the artist? ",Marvin Gaye,Marvin Gaye,Curtis Mayfield,Smoky Robinson,Peter Frampton
"REBEL MUSIC MIX- How old was the pop singer Leslie Gore when she recorded the early women's lib hit ""You Don't Own Me"" in 1963?",17,17,30,45,13
"REBEL MUSIC MIX- Which one of these bands never released a song about a ""racist friend?""",Rise Against,Rise Against,They Might Be Giants,Naomi Pilgrim,Special AKA
"REBEL MUSIC MIX- Finish the title of this Joe Hill song written in 1913 and covered in 1984 by Billy Bragg. ""There is power in a _______""? ",union,union,friendship,nation,family
