question,correct,answerA,answerB,answerC,answerD,round
REVOLUTION ROUND- The Clash's 4th album was named after a successful socialist revolution in Central America in 1979. What was the name of the album? ,Sandinista!,Sandinista!,London Calling,Combat Rock,Give Em Enough Rope,revRound
,,,,,,
"RAD ROUND- Which famous beat poet appeared in Bob Dylan's ""Subterranean Homesick Blues"" video in 1965? ",Allen Ginsburg,Allen Ginsburg,Jack Kerouac,Gregory Corso,Lawrence Ferlinghetti,radRound
REBELLION ROUND- The Cherry Poppin' Daddies released this song in 1997 the title of which refers to a series of confrontations in 1943 in LA where Mexican Youth were attacked by US soldiers.,The Zoot Suit Riots,The Zoot Suit Riots,The Brown Shirts Riots,The West Coast War Riots,The Boot Suit Riots,rebelRound
RESISTANCE ROUND- In 2000 this female rock singer from Ohio was arrested along with other People for the Ethical Treatment of Animals activists at a Gap store for slashing leather products.,Chrissie Hynde,Chrissie Hynde,Natalie Merchant,Alison Moyet,Tracy Chapman,resRound
"REVOLUTION ROUND- This 1970's, New York based, art rock band is said to have inspired the democratic revolution in Czechoslovakia in 1989.",The Velvet Underground,The Velvet Underground,Sonic Youth,Kraftwerk,Devo,revRound
,,,,,,
RAD ROUND- The spoken word album An American Prayer by Jim Morrison and the Doors was nominated for a Grammy in what year?,1978,1978,1956,1983,1999,radRound
REBELLION ROUND- This 1990 song by X Clan recalls a New York City-wide protest against police brutality on 1989 when demonstrators took over the Brooklyn Bridge. What was the title of the song?,"""A Day of Outrage, Operation Snatchback""","""A Day of Outrage, Operation Snatchback""","""Days of Rage, Operation Take it Back""","""Chaos Days- Operation Stand Up for Justice""","""A Day of Confrontation- Operation Take it to the Bridge""",rebelRound
"RESISTANCE ROUND- This  Cameroonian singer was imprisoned in 2008 after criticizing Cameroon president Paul Biya in the song ""Constitution constipée."" ",Lapiro de Mbanga,Lapiro de Mbanga,Emile Kangue,Sam Fan Thomas,Moni Bile,resRound
"REVOLUTION ROUND- This famous black leftist poet came into prominence in the late 1960's with the groundbreaking piece ""The Revolution Will Not be Televised.""",Gil Scott Heron,Gil Scott Heron,Abiodun Oyewole,Gylan Kain,Amiri Baraka,revRound
,,,,,,
"RAD ROUND- What is the subtitle of the 1872 book ""The Birth of Tragedy"" by German philosopher Fredrick Nietzsche about the classical German romantic composer Richard Wagner? ","""Through the Spirit of Music""","""Through the Spirit of Music""","""Through War""","""Through Weakness""","""Through the Spirit of Romance""",radRound
"REBELLION ROUND- The Southern California band Sublime released the song ""April 29, 1992 (Miami)"" in 1996. What was the song about? ",The LA Uprising against police brutality,The LA Uprising against police brutality,The 1968 police riot at the Democratic National Convention in Chicago,Looting in Miami after Hurricane Janice,Unrest in Miami after a security guard shot an 11 year old in the back,rebelRound
RESISTANCE ROUND- Calypso singer Harry Belafonte was arrested outside of this embassy in 1985 protesting Apartited.,South African,South African,Egypt,Chad,Nigeria,resRound
"REVOLUTION ROUND- This singer who has been called ""the voice of Egypt"" released the song ""#Jan25""- a 2011 record about the revolutionary movement that ousted Hosni Mubarak and the role that Twitter played in spreading the revolution. ",Mohamed Mounir,Mohamed Mounir,Amr Diab,Hany Shaker,Tamer Hosny,revRound
,,,,,,
"RAD ROUND- Who said this ""For art to be ""unpolitical"" means only to ally itself with the 'ruling' group.'"" ",Playwrite and Artist Bertolt Brecht,Playwrite and Artist Bertolt Brecht,Musician and Activist Penny Rimbaud,Poet and Essayist Antonin Artaud,Composer Kurt Weill,radRound
"REBELLION ROUND- The Public Enemy song ""Black Steel in the Hour of Chaos"" off the 1988 album It Takes a Nation of Millions to Hold us Back, was a fictional account of what?",A prison uprising,A prison uprising,A race war,A street protest,A street battle during war time,rebelRound
"RESISTANCE ROUND- This Agit Prop punk feminist group from Russia was arrested in March 2012 after performing an anti-Putin ""punk prayer"" inside Moscow's Cathedral of Christ the Saviour",Pussy Riot,Pussy Riot,The Living Theater,Agit-prop,Kraftwerk,resRound
"REVOLUTION ROUND- The song ""A las Barricadas"" (""To the Barricades"") written by Valeriano Orobón Fernández in 1936, was a popular revolutionary song with anarchists during what conflict? ",The Spanish Civil War,The Spanish Civil War,World War II,World War I,The Spanish American War,revRound
,,,,,,
"RAD ROUND- The Ronnie Dyson song ""Aquarius"" a late 1960's anthem for the counterculture, appeared in what famous musical? ",Hair,Hair,West Side Story,Jesus Christ Superstar,Rent,radRound
REBELLION ROUND- The female folk singer  Madeline Davis wrote this song after attending her first gay and lesbian rights march for civil rights in 1971. ,"""Stonewall Nation""","""Stonewall Nation""","""Outta the Closet""","""Out and Proud""","""Rainbow Pride""",rebelRound
RESISTANCE ROUND- Singer/ songwriter Jackson Browne got arrested protesting nuclear power at what power plant in 1981?,Diablo Canyon,Diablo Canyon,Grand Canyon,King's Canyon,Copper Canyon,resRound
"REVOLUTION ROUND- The BBC designated this Bob Marley and the Wailers song as ""Song of the Millennium."" ","""One Love""","""One Love""","""Redemption Song""","""Get Up Stand Up""","""Exodus"" ",revRound
,,,,,,
"RAD ROUND- In the 1961 song ""America"" from the musical West Side Story the boys say ""Life is all right in America"" and the girls reply?","""If you're all white in America""","""If you're all white in America""","""If you are white in America""","""If you act right in America""","""If you have might in America""",radRound
REBELLION ROUND- The shock metal band GWAR released their second album America Must be Destroyed in what year? ,1992,1992,1986,1998,2001,rebelRound
RESISTANCE ROUND- This member of the Clash got arrested in 2011 with Greenpeace members for storming the Leiv Eriksson oil rig near Greenland in a speedboat to protest off shore oil drilling.,Paul Simonon,Paul Simonon,Mick Jones,Joe Strummer,Keith Levene,resRound
"REVOLUTION ROUND- This Irish singer wrote ""The Foggy Dew"" a 1919 song  about the Easter Rising- a five day armed insurrection against the British in 1916. ",Canon O'Neill,Canon O'Neill,Derek Warfield,David Kincaid,The Clancy Brothers And Tommy Makem,revRound
,,,,,,
RAD ROUND- The civil rights literary legend Maya Angelou teamed up with what famous soul music duo to record the 1996 album Been Found?,Ashford and Simpson,Ashford and Simpson,Peaches and Herb,Hall and Oats,Sam and Dave,radRound
REBELLION ROUND- The opening performance of this modern ballet piece by composer Igor Stravinsky in 1913 led to a riot.,Rite of Spring,Rite of Spring,The Death of Summer,The Shovel,My Dada Night Dream,rebelRound
"RESISTANCE ROUND- Denise Ho, a Canto- pop singer, was arrested by Chinese authorities in 2014 protesting what?",The use of tear gas on protesters opposing its policies in Hong Kong,The use of tear gas on protesters opposing its policies in Hong Kong,The use of live rounds on workers protesting its labor policies.,The invasion of Zambia by the military Chinese in 2009,The bombing of a Peruvian airliner by the Chinese air force in 2011,resRound
"REVOLUTION ROUND- The song ""La Marseillaise,"" the main anthem of the French Revolution created by Claude Joseph Rouget de Lisle was banned by which king and dictator?",Louis the XVIII and Napoleon the III,Louis the XVIII and Napoleon the III,King James the VIII and Julius Caesar,King Louis the LXV and Napoleon the III,Louis the XIV and Napoleon Bonaparte,revRound
,,,,,,
RAD ROUND- What was the first recorded account of a musician destroying his instrument on stage? ,Rockin' Rocky Rockwell in 1956,Rockin' Rocky Rockwell in 1957,Kurt Cobain of Nirvana in 1991,Pete Townsend of the Who in 1966,Keith Moon of the Who in 1966,radRound
"REBELLION ROUND- The song ""Revolution"" by the British shoegaze band Spacemen 3 was released in what year?",1988,1988,1991,2003,1979,rebelRound
RESISTANCE ROUND- These two Tibetan musicians started serving four year sentences in 2012 after releasing the album The Pain of an Unhealed Wound- a protest album around the Chinese occupation. ,Pema Trinley and Chakdor,Pema Trinley and Chakdor,Yungchen Lhamo and Karjam Saeji,Danny Becher and Techung,Choying Drolma & Steve Tibbetts,resRound
"REVOLUTION ROUND- ""Hasta Siempre,Commandante"" (""Until Forever, Commander"") is a 1965 song based on Che Guevara's farewell address in Cuba before he went to the Congo and Bolivia to join the revolutionary efforts in those counties. Who wrote the song?",Cuban singer Carlos Puebla,Cuban singer Carlos Puebla,Cuban singer Benny Moré,Cuban singer Raúl Planas,Chilean composer Sergio Ortega,revRound
,,,,,,
RAD ROUND- What's the name of Gil Scott Heron's famous spoken word performance piece about Watergate released in 1974?,H2O Gate Blues,H2O Gate Blues,Saturday Night Massacre,The Ag-new Blues,The Four Asses of the Apocalypse,radRound
REBELLION ROUND- The arrest of members of this hip-hop act in 1989 for performing an anti-police song during a show in Detroit led to a concert riot. ,NWA,NWA,A Tribe Called Quest,Public Enemy,Run DMC,rebelRound
"RESISTANCE ROUND- This British born rapper was arrested and deported by ICE officials while in Atlanta in 2019. He later donated 25,000 to the Southern Poverty Law Center to fight against ICE abuses.",21 Savage,22 Savage,J. Cole,Sole,Lil' Wayne ,resRound
"REVOLUTION  ROUND- Who wrote the 1871 socialist anthem the ""International."" ","Anarchist, Eugene Pottier","Anarchist, Eugene Pottier","Communist, Karl Marx","Social Democrat, Kurt Weill","John Reed, Socialist",revRound
