question,correct,answerA,answerB,answerC,answerD
REBEL RAPPERS- How many pages did the FBI have on Tupac Shakar right before his death? ,"4,000","4,000","7,800",200,4
"REBEL RAPPERS- The hip-Hop artist Common wrote ""A Song for Assata"" in 2000. Assata Shakur was a member of what black liberation organization of the 1970's and 80's?",Black Liberation Army,Black Liberation Army,Blackstone Rangers,Nation of Islam,Black Panther Party
"REBEL RAPPERS- This former member of the Geto Boys wrote the song ""Fuck Rodney King"" in response to King's timid reaction to the not guilty verdicts related to his own brutal beating by the police",Willie D,Willie D,Bushwick Bill,Master P,Scarface
REBEL RAPPERS- The song Steve Biko (Stir it Up) by A Tribe Called Quest appeared on what 1993 album of theirs?,Midnight Marauders,Midnight Marauders,The Love Movement,The Low End Theory,Beats Rhymes & Life
"REBEL RAPPERS- The 1991 rap hit ""Free South Africa"" appeared on which Stetsasonic album? ","Blood, Sweat and no Tears","Blood, Sweat and no Tears",Just Say Stet,In Full Gear,On Fire
"REBEL RAPPERS- This feminist, sex positive, hip-hop trio won a Grammy for the 1995 song ""None of Your Business."" ",Salt-N-Pepa,Salt-N-Pepa,The Mercedes Ladies,Destiny's Child,SWV
REBEL RAPPERS- Members of Public Enemy and Rage Against the Machine got together with this LA based hip-hop group in 2007 to create the group Prophets of Rage.,Cypress Hill,Cypress Hill,Ozomatli,Da Lynch Mob,Dilated Peoples
"REBEL RAPPERS- The Arrested Development song ""Revolution"" appeared on what 1992 album? ",The soundtrack to the movie Malcolm X,The soundtrack to the movie Malcolm X,The soundtrack to the movie Menace II Society,The soundtrack to the movie Black Panther,The soundtrack to the movie Boyz in the Hood
"REBEL RAPPERS- This Denver based indy hip- hop anarchist released the 2013 album No Wising Up, No Settling Down in which he declared ""I Think I'm Emma Goldman."" ",Sole,Sole,Macklemore,J. Cole,emcee lynx
"REBEL RAPPERS- What year was the classic reality rap song ""The Message"" by Grand Master Flash and the Furious Five released? ",1981,1981,1973,2011,2005
REBEL RAPPERS- The Peruvian American political hip-hop artist Immortal Technique appeared in this movie drama about the 2004 Republican National Convention in New York City. ,This Revolution,This Revolution,My Revolution,Revolution Now,Our Revolution
REBEL RAPPERS- What Bronx based political rapper started the label Boogie Down Productions with the late Scott La Rock?,KRS-One,KRS-One,Kool Moe Dee,Nas,Kool G Rap
"REBEL RAPPERS- This US based rapper was the first female, solo, hip-hop artist to release a full rap album in 1988. Who is she? ",MC Lyte,MC Lyte,The Lady of Rage,Queen Latifah,Yo-Yo
"REBEL RAPPERS- This Philadelphia based hip hop artist who got trapped in Pennsylvania's criminal justice system based on a wrongful arrest at 19, started the Reform Alliance with Jay Z. ",Meek Mill,Meek Mill,Schoolly D,Steady B,Black Thought
"REBEL RAPPERS- What was the underling point of Tupac Shakur's ""Thug Life"" philosophy? ",To politicize black street gangs across the US,To politicize black street gangs across the US,To unite all motorcycle gangs across all races,To encourage friendship between Blacks and Latinos,To encourage blacks to start their own businesses
REBEL RAPPERS- Which record label first distributed the conscious hip-hop and world music artist Michael Franti? ,Alternative Tentacles,Alternative Tentacles,Anti-,Six Degrees Records,Capitol
"REBEL RAPPERS- Black America Again, released in 2016, was the 11th studio album by which political hip-hop artist? ",Common,Common,Drake,Usher,John Legend
"REBEL RAPPERS- Sinead O Conner teamed up with this rap artist in 1988 for the sex positive song  ""I Want Your (Hands on Me.)"" ",MC Lyte,MC Lyte,Left Eye (Lisa Lopes),Missy Elliott,Monie Love
"REBEL RAPPERS- Poor Righteous Teachers, a socially conscious hip-hop group big in the late 80's and 90's, were a part of what New York based soci-spiritual movement?",The Five Percent Nation,The Five Percent Nation,The Three Percent Nation,The 10 Percent Nation,The One Percent Nation
"REBEL RAPPERS- Afrika Bambaataa teamed up with former Sex Pistols singer Johnny Lydon in 1984 to record the anti-fascist, anti-racist classic ""World Destruction."" What was the name of their group? ",Time Zone,Time Zone,War Zone,Fight Zone,Death Zone
"REBEL RAPPERS- Lauryn Hill performed the song ""I Find it Hard to Say (Rebel)"" in a memorable performance on which show in 2002?",MTV Unplugged,MTV Unplugged,In Living Color,Saturday Night Live,The Arsenio Hall Show
REBEL RAPPERS- What's the name East Bay rapper Paris's first album? ,The Devil Made Me Do It,The Devil Made Me Do It,Sonic Jihad,Sleeping With the Enemy,Acid Reflex 
